"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Altersgruppen","bis 2 Jahre",2017,"15 Trudering - Riem",17.3,784,4543,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"16 Ramersdorf - Perlach",21.7,1457,6709,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"17 Obergiesing - Fasangarten",12.3,271,2209,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"18 Untergiesing - Harlaching",24.8,573,2311,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",22.1,917,4148,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"20 Hadern",19.8,523,2646,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"21 Pasing - Obermenzing",22.8,884,3876,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"22 Aubing - Lochhausen - Langwied",16.2,337,2085,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"23 Allach - Untermenzing",21.1,351,1666,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"24 Feldmoching - Hasenbergl",15.5,518,3342,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2017,"25 Laim",19.8,429,2167,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2016,"Stadt München",20.7,15219,73470,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2016,"01 Altstadt - Lehel",24.4,255,1044,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
"Altersgruppen","bis 2 Jahre",2016,"02 Ludwigsvorstadt - Isarvorstadt",25.1,557,2222,"betreute Kinder (bis 2 Jahre)","betreute Kinder (insgesamt)"
